item_name,current_quantity,reorder_threshold,priority_level,suggested_reorder
MacBook Air M3,8,15,Low,14
Dell OptiPlex Desktop,2,15,Critical,20
HP EliteBook Laptop,0,10,Critical,15
Samsung Galaxy S24,18,20,Low,12
iPhone 15 Pro,0,8,Critical,12
"iPad Pro 12.9""",5,25,Critical,32
Google Pixel 8,12,15,Low,10
"Dell 32"" Curved Monitor",1,5,Critical,6
Logitech MX Master 3S,45,50,Low,30
USB-C Hub Adapter,6,25,Critical,31
USB-C Charging Cable,3,5,Low,4
AirPods Pro,15,80,Critical,105
Sony WH-1000XM5,8,10,Low,7
Anker Power Bank 20k,0,30,Critical,45
